Rock_Type,Date,Rainfall,Slope_Angle,NDVI,Change_in_NDVI,Soil_Moisture,Blast_Vibration,Seismic_Vibration
Metamorphic,2023-03-13,13.83,25.73,0.36,0.01,34.35,0.19,0.033
Metamorphic,2022-12-09,43.91,17.9,0.3,0.049,38.97,0.053,0.032
Sedimentary,2021-05-01,13.08,17.69,0.46,-0.005,39.47,0.15,0.033
Igneous,2024-05-01,30.7,28.67,0.39,0.021,26.89,0.3,0.005
Igneous,2023-06-11,8.29,9.06,0.5,-0.037,27.63,0.076,0.013
Metamorphic,2025-01-25,40.32,36.27,0.7,-0.025,34.53,0.144,0.036
Metamorphic,2020-10-03,43.01,16.94,0.41,0.03,31.54,0.12,0.036
Sedimentary,2021-04-09,4.05,13.67,0.2,0.007,19.74,0.038,0.028
Sedimentary,2022-05-12,3.97,16.9,0.28,-0.032,12.56,0.206,0.035
Igneous,2021-12-17,45.79,45.98,0.67,0.012,28.59,0.069,0.011
Metamorphic,2025-04-18,0.72,18.82,0.32,0.023,21.45,0.157,0.036
Sedimentary,2024-03-14,0.66,68.32,0.14,-0.012,15.97,0.122,0.042
Sedimentary,2024-01-27,10.27,16.56,0.54,-0.032,33.65,0.247,0.024
Sedimentary,2025-02-15,38.69,38.61,0.54,0.006,10.51,0.124,0.018
Sedimentary,2023-07-31,18.76,40.06,0.58,0.011,22.53,0.235,0.03
Igneous,2022-12-13,42.82,24.93,0.2,-0.022,15.27,0.103,0.025
Metamorphic,2022-07-13,42.41,33.83,0.45,-0.036,34.04,0.11,0.011
Metamorphic,2021-07-13,1.47,6.68,0.27,-0.029,24.37,0.09,0.008
Sedimentary,2023-06-28,40.89,63.36,0.37,0.044,25.24,0.239,0.013
Sedimentary,2025-09-05,28.55,37.74,0.22,-0.004,24.67,0.22,0.005
Igneous,2024-07-30,46.9,24.81,0.52,0.035,30.87,0.104,0.017
Metamorphic,2023-06-25,49.52,61.12,0.21,0.014,37.72,0.182,0.009
Metamorphic,2021-08-08,29.28,53.99,0.61,0.041,34.71,0.291,0.002
Sedimentary,2023-08-20,1.33,51.83,0.62,-0.0,25.14,0.095,0.03
Metamorphic,2022-10-14,18.58,35.8,0.36,0.006,20.5,0.211,0.019
Metamorphic,2021-11-22,47.49,21.21,0.57,-0.031,29.99,0.222,0.029
Metamorphic,2022-03-14,18.97,34.08,0.14,0.039,14.91,0.246,0.046
Sedimentary,2022-06-20,15.67,16.81,0.59,0.015,29.26,0.199,0.022
Sedimentary,2025-02-16,13.46,25.98,0.62,-0.007,23.63,0.037,0.007
Sedimentary,2022-09-08,11.01,54.73,0.47,0.018,27.07,0.142,0.038
Igneous,2021-05-18,41.13,56.0,0.5,0.019,17.18,0.248,0.048
Igneous,2025-04-04,6.17,5.92,0.28,0.021,24.26,0.255,0.012
Sedimentary,2022-10-14,1.28,25.62,0.6,0.034,17.07,0.08,0.049
Sedimentary,2021-11-06,26.96,52.42,0.6,0.022,28.69,0.18,0.013
Metamorphic,2021-10-24,18.13,13.1,0.57,-0.029,15.23,0.241,0.024
Sedimentary,2022-11-05,12.15,58.29,0.65,0.044,23.01,0.055,0.009
Sedimentary,2023-09-26,43.02,15.91,0.27,-0.019,29.98,0.22,0.01
Sedimentary,2024-08-22,26.99,19.91,0.56,0.045,26.54,0.006,0.004
Igneous,2025-06-19,33.52,7.52,0.44,0.027,17.61,0.27,0.023
Igneous,2021-10-23,14.37,14.63,0.6,-0.025,20.31,0.092,0.043
Igneous,2023-01-27,48.48,34.35,0.36,0.024,31.61,0.295,0.018
Metamorphic,2020-12-27,49.86,42.14,0.16,0.017,27.73,0.158,0.015
Sedimentary,2022-10-18,11.56,52.64,0.61,-0.03,23.44,0.189,0.005
Igneous,2022-09-29,19.38,11.53,0.45,0.015,37.15,0.094,0.043
Igneous,2020-12-26,1.38,51.32,0.35,-0.01,15.73,0.176,0.032
Igneous,2021-05-08,31.95,29.34,0.69,-0.044,38.11,0.14,0.024
Igneous,2025-06-19,10.81,50.56,0.35,-0.023,27.33,0.085,0.029
Igneous,2022-12-20,13.36,63.66,0.32,-0.043,37.18,0.023,0.027
Metamorphic,2025-05-17,11.33,26.11,0.66,-0.037,25.26,0.019,0.018
Sedimentary,2021-04-18,7.67,22.16,0.54,0.004,17.52,0.186,0.02
Igneous,2022-01-29,12.14,45.94,0.26,0.021,31.19,0.105,0.03
Metamorphic,2025-02-09,0.9,8.72,0.38,0.013,27.55,0.106,0.045
Igneous,2022-07-09,39.85,28.07,0.42,0.02,24.5,0.297,0.01
Igneous,2023-11-11,24.92,16.98,0.45,0.012,26.31,0.253,0.044
Igneous,2024-02-01,41.5,64.81,0.22,-0.044,19.38,0.139,0.004
Sedimentary,2020-12-01,48.69,60.13,0.57,0.017,27.68,0.036,0.047
Sedimentary,2022-09-14,0.14,57.43,0.33,-0.044,38.35,0.285,0.044
Sedimentary,2023-07-28,5.68,23.48,0.42,0.036,24.32,0.22,0.026
Sedimentary,2024-05-16,15.76,44.57,0.24,0.014,30.19,0.163,0.017
Sedimentary,2021-12-10,33.6,20.73,0.51,0.04,17.59,0.2,0.035
Igneous,2021-08-31,6.92,52.9,0.22,0.045,18.42,0.133,0.015
Sedimentary,2023-01-06,1.2,54.38,0.61,0.047,38.59,0.29,0.024
Sedimentary,2021-09-28,41.01,29.96,0.42,-0.037,31.38,0.271,0.021
Sedimentary,2024-09-09,0.59,44.75,0.51,0.003,27.3,0.163,0.022
Sedimentary,2024-11-25,41.98,20.04,0.14,0.013,33.23,0.255,0.006
Sedimentary,2022-08-26,17.91,16.33,0.17,-0.04,38.24,0.186,0.042
Metamorphic,2023-07-31,11.0,39.1,0.2,0.044,13.49,0.042,0.045
Igneous,2022-07-04,17.84,12.06,0.45,-0.038,33.4,0.069,0.02
Igneous,2022-09-06,48.97,9.15,0.25,-0.006,29.32,0.224,0.006
Igneous,2025-05-21,26.78,22.87,0.14,0.012,19.9,0.272,0.015
Metamorphic,2021-06-01,1.91,19.04,0.34,-0.012,26.37,0.295,0.028
Metamorphic,2020-09-21,13.74,45.23,0.58,-0.023,18.96,0.165,0.003
Metamorphic,2022-01-29,42.7,50.61,0.45,-0.023,11.97,0.099,0.029
Igneous,2024-08-01,14.01,14.33,0.68,-0.031,28.25,0.205,0.041
Igneous,2024-02-10,10.23,35.25,0.15,-0.011,12.63,0.054,0.037
Sedimentary,2022-07-27,21.16,6.08,0.27,-0.008,34.99,0.016,0.005
Metamorphic,2024-03-11,28.5,39.47,0.34,0.026,39.42,0.163,0.04
Metamorphic,2025-01-26,40.82,56.95,0.37,-0.014,33.17,0.241,0.006
Sedimentary,2024-08-18,45.96,33.56,0.27,0.008,25.23,0.067,0.041
Metamorphic,2023-05-15,20.15,45.0,0.25,-0.039,29.71,0.071,0.036
Metamorphic,2021-08-21,32.34,17.67,0.36,0.048,28.8,0.119,0.002
Metamorphic,2025-05-17,0.56,39.25,0.37,0.002,20.14,0.285,0.016
Igneous,2022-05-09,34.03,27.24,0.54,0.002,15.28,0.178,0.007
Sedimentary,2023-10-09,37.37,15.81,0.54,0.02,39.01,0.139,0.048
Sedimentary,2023-07-18,11.26,17.66,0.62,0.047,25.96,0.074,0.006
Metamorphic,2023-03-17,9.38,16.22,0.44,-0.003,25.89,0.235,0.014
Igneous,2021-04-20,44.63,19.57,0.66,0.024,22.43,0.187,0.025
Igneous,2024-08-28,10.32,14.19,0.57,0.045,39.31,0.123,0.016
Metamorphic,2023-03-08,24.21,44.85,0.57,0.045,34.97,0.28,0.034
Igneous,2021-09-07,49.58,47.29,0.37,0.01,29.14,0.053,0.043
Metamorphic,2021-04-19,46.3,48.28,0.2,0.05,32.3,0.272,0.046
Sedimentary,2024-11-29,5.02,41.85,0.64,-0.046,38.19,0.145,0.015
Metamorphic,2021-03-27,20.2,22.44,0.44,-0.012,31.44,0.021,0.013
Metamorphic,2022-12-10,28.27,57.54,0.15,-0.008,31.14,0.17,0.024
Sedimentary,2024-09-11,27.02,12.22,0.26,-0.02,37.32,0.04,0.012
Igneous,2021-12-19,0.67,50.95,0.46,0.041,20.75,0.112,0.047
Igneous,2022-06-03,0.73,17.16,0.45,0.05,26.9,0.273,0.043
Igneous,2024-01-12,23.09,11.03,0.21,-0.006,20.35,0.137,0.022
Sedimentary,2024-03-09,43.29,30.9,0.23,-0.013,10.35,0.008,0.028
Igneous,2022-07-14,8.92,17.48,0.47,0.004,19.83,0.059,0.013
Sedimentary,2021-02-04,47.62,40.93,0.23,-0.04,12.44,0.02,0.04
Igneous,2022-09-13,22.48,38.29,0.31,0.022,25.46,0.08,0.046
Igneous,2025-06-22,30.08,62.25,0.54,0.002,15.95,0.112,0.015
Igneous,2023-04-13,25.11,7.78,0.54,-0.047,25.99,0.143,0.048
Igneous,2022-08-08,5.55,28.55,0.62,-0.027,26.75,0.196,0.039
Metamorphic,2021-09-28,23.18,24.78,0.23,-0.03,13.16,0.247,0.034
Metamorphic,2022-10-18,23.79,69.27,0.35,0.042,29.1,0.219,0.022
Igneous,2024-09-11,46.1,21.82,0.21,-0.016,23.38,0.235,0.011
Igneous,2024-03-19,28.19,8.3,0.36,-0.036,31.76,0.132,0.038
Sedimentary,2025-06-03,20.7,39.02,0.5,-0.001,14.25,0.13,0.034
Sedimentary,2024-05-07,12.27,11.68,0.53,-0.035,21.62,0.123,0.048
Sedimentary,2022-06-13,23.8,28.51,0.15,-0.01,33.72,0.225,0.03
Metamorphic,2023-09-28,29.52,13.88,0.15,0.031,31.91,0.159,0.003
Metamorphic,2021-03-22,47.11,22.75,0.24,0.049,18.03,0.155,0.004
Igneous,2021-02-17,22.2,27.38,0.35,0.045,18.99,0.139,0.003
Metamorphic,2023-11-26,18.44,21.25,0.44,0.046,12.62,0.165,0.014
Sedimentary,2024-04-27,5.35,15.93,0.37,-0.022,38.97,0.036,0.037
Metamorphic,2022-05-25,32.33,66.23,0.33,-0.002,31.6,0.0,0.002
Igneous,2022-01-28,34.74,65.38,0.52,-0.005,28.67,0.027,0.044
Sedimentary,2022-08-23,39.64,48.3,0.32,-0.027,21.05,0.108,0.039
Metamorphic,2024-04-25,32.05,51.38,0.3,0.017,15.57,0.21,0.035
Metamorphic,2024-01-16,14.35,52.17,0.47,0.016,34.21,0.154,0.037
Metamorphic,2024-03-17,3.1,32.01,0.61,-0.001,32.47,0.168,0.037
Sedimentary,2023-12-21,40.94,41.01,0.13,0.043,11.9,0.068,0.023
Sedimentary,2023-03-12,4.02,26.52,0.3,0.038,12.69,0.227,0.03
Metamorphic,2022-01-28,21.81,62.21,0.35,0.037,36.91,0.118,0.037
Metamorphic,2022-10-16,29.16,19.65,0.62,-0.01,35.82,0.023,0.002
Metamorphic,2025-02-19,39.56,37.06,0.64,-0.014,29.88,0.12,0.023
Sedimentary,2023-08-29,7.5,65.36,0.65,-0.009,20.76,0.066,0.02
Igneous,2024-01-23,30.48,23.99,0.43,-0.017,12.43,0.237,0.034
Sedimentary,2023-06-04,1.33,26.59,0.47,-0.015,26.34,0.123,0.03
Igneous,2022-11-18,40.34,28.75,0.63,0.006,20.11,0.167,0.018
Sedimentary,2025-04-08,44.64,44.66,0.35,-0.016,38.23,0.279,0.048
Sedimentary,2021-07-10,6.55,45.25,0.33,0.038,38.36,0.159,0.017
Sedimentary,2022-09-14,40.44,20.84,0.62,0.035,37.07,0.201,0.044
Metamorphic,2022-11-13,5.24,36.28,0.65,-0.022,38.32,0.088,0.026
Igneous,2022-03-03,41.91,60.71,0.31,0.021,39.38,0.105,0.007
Sedimentary,2024-05-06,43.81,38.77,0.25,-0.021,37.35,0.075,0.033
Igneous,2023-08-24,2.82,65.57,0.32,-0.022,26.91,0.252,0.022
Igneous,2021-10-02,32.5,28.69,0.69,0.003,32.18,0.193,0.009
Metamorphic,2021-04-12,44.31,54.04,0.32,-0.05,33.4,0.072,0.037
Sedimentary,2024-02-07,46.93,7.7,0.1,0.001,14.31,0.206,0.043
Igneous,2023-11-18,47.06,23.48,0.5,-0.024,28.18,0.208,0.047
Metamorphic,2023-10-13,21.01,46.23,0.16,-0.016,13.01,0.221,0.019
Sedimentary,2025-02-15,25.65,44.94,0.65,-0.033,21.91,0.072,0.048
Metamorphic,2021-05-24,12.2,9.05,0.5,0.042,29.76,0.215,0.014
Sedimentary,2021-07-31,15.23,25.0,0.69,0.043,27.1,0.092,0.016
Sedimentary,2024-04-05,30.62,52.07,0.48,0.019,29.19,0.042,0.03
Sedimentary,2023-09-30,0.65,17.12,0.4,-0.027,10.87,0.209,0.028
Metamorphic,2023-07-09,16.31,45.6,0.11,0.041,36.08,0.221,0.013
Metamorphic,2023-08-03,42.52,41.28,0.43,0.009,37.64,0.228,0.0
Metamorphic,2024-01-04,37.16,59.79,0.4,-0.012,23.29,0.2,0.011
Igneous,2023-08-13,36.29,46.74,0.67,-0.035,15.09,0.033,0.021
Sedimentary,2022-09-08,5.42,13.29,0.61,-0.028,26.44,0.105,0.041
Metamorphic,2022-06-29,25.52,60.41,0.18,-0.046,28.33,0.263,0.012
Igneous,2025-04-08,29.27,39.17,0.67,0.002,31.4,0.186,0.003
Igneous,2020-12-11,18.07,34.3,0.38,0.036,38.46,0.005,0.019
Igneous,2023-03-12,38.14,42.97,0.36,0.034,25.21,0.039,0.019
Sedimentary,2022-08-24,14.61,59.95,0.39,0.038,10.57,0.133,0.006
Sedimentary,2020-10-29,42.93,18.74,0.32,-0.002,25.52,0.283,0.042
Igneous,2024-12-01,5.89,9.32,0.32,-0.023,32.2,0.08,0.039
Igneous,2020-11-03,42.85,7.86,0.17,-0.025,17.97,0.167,0.022
Igneous,2025-09-12,41.02,17.52,0.24,-0.033,16.3,0.288,0.044
Metamorphic,2021-01-09,30.66,26.39,0.48,0.004,12.24,0.149,0.032
Sedimentary,2021-07-15,44.82,63.17,0.67,-0.012,26.73,0.034,0.04
Sedimentary,2023-10-30,21.98,18.41,0.69,-0.04,16.18,0.138,0.017
Igneous,2023-07-23,20.48,48.87,0.6,-0.018,18.49,0.031,0.039
Metamorphic,2021-04-15,31.83,39.28,0.11,-0.011,34.31,0.02,0.005
Igneous,2022-05-04,45.86,38.25,0.57,0.046,31.08,0.226,0.019
Sedimentary,2025-09-02,43.52,6.39,0.45,0.04,33.82,0.004,0.034
Igneous,2023-07-19,28.48,52.39,0.27,-0.031,20.85,0.12,0.045
Sedimentary,2021-10-25,48.65,49.56,0.68,-0.007,16.26,0.108,0.023
Igneous,2021-11-09,24.49,66.08,0.24,-0.037,28.37,0.149,0.016
Igneous,2023-10-11,2.47,32.39,0.62,0.038,38.67,0.106,0.016
Metamorphic,2022-06-03,36.76,16.74,0.7,-0.029,13.61,0.074,0.007
Sedimentary,2025-09-13,35.99,67.82,0.5,-0.027,11.03,0.015,0.046
Igneous,2022-06-01,20.82,52.13,0.29,-0.041,20.55,0.213,0.007
Sedimentary,2023-09-01,35.47,13.36,0.12,-0.029,18.4,0.072,0.033
Igneous,2023-01-09,5.01,17.47,0.26,0.028,14.77,0.037,0.014
Metamorphic,2024-09-02,49.67,39.75,0.66,0.011,17.94,0.285,0.011
Metamorphic,2025-04-05,38.86,28.4,0.47,-0.017,22.41,0.274,0.024
Igneous,2021-04-24,36.86,9.42,0.31,-0.014,15.38,0.035,0.033
Metamorphic,2023-03-28,45.22,31.12,0.17,0.015,31.84,0.064,0.015
Metamorphic,2020-10-22,38.35,60.08,0.7,0.048,38.4,0.165,0.048
Metamorphic,2024-03-31,43.21,31.92,0.34,0.05,32.12,0.017,0.015
Sedimentary,2022-05-11,32.58,45.15,0.25,0.044,27.81,0.0,0.04
Igneous,2020-11-14,47.43,43.72,0.63,-0.013,31.74,0.186,0.022
Sedimentary,2022-06-24,0.48,10.3,0.58,-0.029,22.37,0.133,0.025
Sedimentary,2020-10-17,17.47,43.16,0.15,0.01,29.07,0.147,0.039
Metamorphic,2024-05-14,31.72,42.56,0.32,0.033,10.66,0.136,0.018
Sedimentary,2025-07-05,21.92,24.87,0.52,-0.022,33.18,0.292,0.031
Metamorphic,2021-03-26,26.13,24.6,0.51,0.04,29.5,0.294,0.021
Sedimentary,2021-01-10,34.56,65.3,0.5,-0.014,22.56,0.038,0.026
Metamorphic,2022-02-05,20.0,24.4,0.53,-0.024,37.84,0.072,0.043
Sedimentary,2022-09-23,41.16,49.43,0.65,0.023,10.48,0.124,0.011
Metamorphic,2021-06-07,0.06,44.17,0.12,-0.037,21.82,0.015,0.026
Igneous,2021-04-04,9.59,24.06,0.58,-0.038,14.03,0.211,0.02
Igneous,2023-09-03,43.07,11.55,0.14,-0.024,15.88,0.188,0.003
Metamorphic,2021-02-27,29.15,28.78,0.32,0.005,21.84,0.236,0.034
Sedimentary,2023-06-26,48.23,60.47,0.21,0.007,39.94,0.02,0.01
Igneous,2024-01-23,46.45,5.84,0.61,0.05,35.13,0.091,0.037
Igneous,2025-09-10,6.81,18.92,0.45,-0.041,13.36,0.068,0.016
Igneous,2025-06-06,41.31,15.35,0.3,-0.05,14.82,0.034,0.036
Igneous,2024-07-20,8.61,50.3,0.57,-0.01,25.11,0.219,0.025
Metamorphic,2024-04-08,22.98,55.03,0.34,-0.038,33.89,0.198,0.03
Sedimentary,2022-09-29,22.76,65.0,0.56,0.041,27.03,0.218,0.003
Igneous,2022-08-04,3.61,59.33,0.36,0.01,36.23,0.254,0.029
Igneous,2025-09-02,48.78,25.77,0.45,0.024,23.28,0.019,0.012
Metamorphic,2022-04-09,34.78,10.23,0.14,0.029,22.32,0.231,0.023
Igneous,2020-12-18,34.69,37.65,0.59,-0.035,18.85,0.081,0.005
Igneous,2022-09-28,46.57,65.04,0.49,-0.041,22.84,0.218,0.013
Sedimentary,2021-09-12,32.14,35.25,0.68,-0.02,19.28,0.134,0.04
Igneous,2025-03-13,21.49,65.1,0.62,0.029,14.21,0.056,0.004
Sedimentary,2023-05-21,9.92,17.16,0.7,-0.03,14.39,0.295,0.032
Igneous,2021-05-05,24.66,51.71,0.25,-0.02,23.14,0.213,0.0
Igneous,2021-07-09,26.33,67.2,0.22,0.013,30.24,0.211,0.009
Sedimentary,2023-06-13,47.96,28.98,0.29,0.042,39.05,0.066,0.011
Sedimentary,2023-04-29,39.94,69.0,0.58,-0.028,23.44,0.244,0.025
Igneous,2022-05-11,2.94,39.07,0.37,0.049,35.5,0.227,0.036
Sedimentary,2021-07-09,0.11,45.16,0.34,0.025,13.82,0.13,0.005
Igneous,2024-02-13,32.43,59.6,0.45,-0.012,19.45,0.254,0.038
Sedimentary,2023-11-20,42.02,35.11,0.26,-0.002,29.11,0.004,0.017
Metamorphic,2024-05-04,4.07,29.66,0.47,-0.042,12.45,0.154,0.05
Igneous,2024-09-18,6.65,65.41,0.38,-0.042,14.84,0.006,0.026
Sedimentary,2024-02-18,46.18,30.39,0.12,-0.011,28.7,0.141,0.028
Igneous,2023-07-26,29.97,34.43,0.24,-0.036,26.55,0.091,0.035
Sedimentary,2021-06-15,21.33,36.26,0.2,0.016,10.46,0.19,0.043
Igneous,2023-12-12,0.61,36.19,0.34,-0.047,34.83,0.211,0.05
Sedimentary,2023-08-04,35.77,53.16,0.29,-0.039,27.91,0.114,0.044
Metamorphic,2021-10-06,34.39,28.7,0.45,0.047,25.55,0.007,0.019
Igneous,2025-08-15,48.37,17.98,0.55,0.019,28.82,0.284,0.013
Metamorphic,2021-05-15,5.15,10.57,0.56,0.021,29.18,0.031,0.034
Metamorphic,2025-07-09,43.22,48.25,0.36,-0.028,16.54,0.201,0.031
Sedimentary,2022-12-16,19.24,18.63,0.57,-0.017,34.72,0.209,0.048
Metamorphic,2021-08-12,18.89,62.41,0.49,0.041,21.6,0.285,0.034
Metamorphic,2023-06-19,39.5,49.04,0.11,-0.022,34.13,0.042,0.038
Sedimentary,2024-08-03,47.86,10.16,0.37,0.025,23.06,0.242,0.028
Sedimentary,2022-12-09,20.33,43.11,0.31,-0.044,23.54,0.037,0.042
Metamorphic,2021-12-18,9.49,68.12,0.45,0.048,18.62,0.239,0.037
Sedimentary,2022-10-27,10.51,52.58,0.29,-0.014,23.56,0.132,0.011
Sedimentary,2024-08-31,24.41,37.75,0.28,-0.023,30.4,0.24,0.016
Igneous,2023-08-15,28.89,43.61,0.58,-0.047,29.9,0.241,0.043
Metamorphic,2022-01-16,12.25,58.95,0.5,0.017,19.43,0.177,0.02
Igneous,2022-06-06,4.65,14.3,0.44,0.02,20.19,0.181,0.04
Igneous,2024-12-13,38.41,51.29,0.64,-0.002,29.2,0.139,0.022
Metamorphic,2022-02-06,44.63,58.88,0.2,-0.023,12.72,0.053,0.027
Sedimentary,2021-12-07,29.26,60.48,0.43,-0.012,36.25,0.118,0.019
Igneous,2025-03-28,27.66,10.86,0.59,-0.029,24.24,0.117,0.029
Metamorphic,2022-12-19,27.85,69.26,0.22,0.01,28.01,0.121,0.033
Metamorphic,2021-05-01,30.03,39.55,0.11,-0.029,19.74,0.186,0.027
Sedimentary,2024-05-29,40.39,37.83,0.32,-0.043,15.55,0.132,0.024
Metamorphic,2021-11-01,7.32,13.18,0.41,0.034,34.4,0.077,0.004
Igneous,2022-12-05,18.72,7.79,0.4,0.034,31.16,0.182,0.028
Metamorphic,2021-03-22,7.41,62.14,0.59,0.046,10.59,0.053,0.048
Sedimentary,2022-01-21,37.77,64.3,0.65,-0.036,18.14,0.232,0.03
Metamorphic,2024-12-29,35.35,52.78,0.14,0.044,34.37,0.259,0.032
Sedimentary,2021-12-31,2.03,62.42,0.61,-0.006,13.24,0.024,0.03
Igneous,2022-05-12,40.49,55.57,0.28,-0.03,38.25,0.293,0.037
Sedimentary,2021-08-17,12.51,32.67,0.27,-0.04,28.39,0.212,0.019
Sedimentary,2024-11-14,36.58,62.67,0.58,-0.032,34.95,0.077,0.05
Sedimentary,2022-12-29,18.73,54.67,0.15,0.049,22.93,0.206,0.011
Igneous,2024-06-23,14.19,64.35,0.68,-0.0,39.46,0.189,0.032
Metamorphic,2024-11-27,46.43,65.85,0.53,-0.005,39.35,0.019,0.044
Metamorphic,2024-10-28,17.84,11.25,0.52,-0.017,33.48,0.003,0.014
